"ID","Work Item Type","Title","Test Step","Step Action","Step Expected","Area Path","Assigned To","State","Tags"
"","Test Case","kubernetes.container.memory.percent is available OOTB with no manual configuration","","","","Motadata\Settings","","Design","Functional"
"","","","1","Login as admin; on a fresh install with Kubernetes container monitoring configured, open Metric Explorer for a container object","Counter list loads","","","",""
"","","","2","Search the counter list for kubernetes.container.memory.percent","The KPI is present without any derived counter having been created by hand","","","",""
"","Test Case","KPI value equals bytes divided by limit bytes times 100","","","","Motadata\Settings","","Design","Functional; Regression"
"","","","1","For one container, read kubernetes.container.memory.bytes and kubernetes.container.memory.limit.bytes for the same collection interval","Both source values available","","","",""
"","","","2","Read kubernetes.container.memory.percent for that interval and compute (bytes / limit.bytes) * 100","The KPI matches the computed value at the documented precision","","","",""
"","Test Case","KPI is derived without any new collection","","","","Motadata\Settings","","Design","Regression; Impacted"
"","","","1","Compare the collection configuration and poll traffic for the container plugin before and after the KPI is enabled","Both captured","","","",""
"","","","2","Compare","No additional OID/API call or poll is introduced — the KPI is computed from the two counters already collected","","","",""
"","Test Case","Zero memory limit does not raise a division-by-zero or emit a bad value","","","","Motadata\Settings","","Design","Edge; Negative"
"","","","1","Configure or simulate a container whose kubernetes.container.memory.limit.bytes is 0 for an interval","Interval is collected","","","",""
"","","","2","Inspect kubernetes.container.memory.percent for that interval","No value is emitted for the interval and no error/exception is logged — the KPI must not record 0, infinity or NaN","","","",""
"","Test Case","KPI is not computed when one source counter is missing for the interval","","","","Motadata\Settings","","Design","Edge; Regression"
"","","","1","Force an interval where memory.bytes is collected but limit.bytes is absent (or vice versa)","Interval is collected partially","","","",""
"","","","2","Inspect kubernetes.container.memory.percent","No value is emitted for that interval — the KPI computes only when both sources are valid for the same container and the same interval","","","",""
"","Test Case","Source counters are unchanged in definition and value","","","","Motadata\Settings","","Design","Regression; Impacted"
"","","","1","Record the definition, unit and a sample of values for kubernetes.container.memory.bytes and kubernetes.container.memory.limit.bytes before the change","Baseline captured","","","",""
"","","","2","Compare after the KPI ships","Both are byte-identical in definition, collection and values — adding the derived KPI must not alter them","","","",""
"","Test Case","limit.bytes is exposed OOTB alongside the new KPI","","","","Motadata\Settings","","Design","Functional; Regression"
"","","","1","Open the counter list for a Kubernetes container object","Counter list loads","","","",""
"","","","2","Look for kubernetes.container.memory.limit.bytes","It is now an OOTB counter rather than internal-only, per the agreement recorded on the ticket","","","",""
"","Test Case","KPI is selectable in Metric Explorer","","","","Motadata\Settings","","Design","Functional"
"","","","1","Open Metric Explorer, pick a container object and select kubernetes.container.memory.percent","Chart renders","","","",""
"","","","2","Inspect the chart","Values plot as a percentage with a % unit and a sensible 0-100 axis","","","",""
"","Test Case","KPI is usable in a dashboard widget","","","","Motadata\Settings","","Design","Functional; Dashboard"
"","","","1","Create a dashboard widget on kubernetes.container.memory.percent for a container","Widget saves","","","",""
"","","","2","View the dashboard","The widget renders the same values as Metric Explorer for the same window","","","",""
"","Test Case","KPI is usable in a report","","","","Motadata\Settings","","Design","Functional; Reports"
"","","","1","Build a report including kubernetes.container.memory.percent and run it","Report generates","","","",""
"","","","2","Compare against Metric Explorer for the same window","Values and unit agree","","","",""
"","Test Case","KPI is usable in an alert policy and breaches correctly","","","","Motadata\Settings","","Design","Functional; Impacted"
"","","","1","Create a metric alert policy on kubernetes.container.memory.percent with a threshold of 80% critical, then drive a container above it","Policy is active","","","",""
"","","","2","Check Active Alerts","A critical alert is raised with the converted percentage in the alert, and clears when utilisation drops below the threshold","","","",""
"","Test Case","KPI appears for every container in a multi-container pod","","","","Motadata\Settings","","Design","Edge; Functional"
"","","","1","Monitor a pod running three containers with different memory limits","All three are discovered","","","",""
"","","","2","Read kubernetes.container.memory.percent per container","Each container has its own value computed from its own limit — values are not shared or aggregated across containers in the pod","","","",""
"","Test Case","Container with no memory limit set is handled","","","","Motadata\Settings","","Design","Edge; Negative"
"","","","1","Monitor a container that declares no memory limit in its spec","Container is discovered","","","",""
"","","","2","Inspect kubernetes.container.memory.percent","The KPI is absent or explicitly not-applicable for that container, and no invalid value is stored","","","",""
"","Test Case","Utilisation above 100% is represented faithfully","","","","Motadata\Settings","","Design","Edge"
"","","","1","Drive a container to use more than its declared limit if the runtime permits","Interval collected","","","",""
"","","","2","Inspect kubernetes.container.memory.percent","The value is reported as computed rather than silently clamped to 100, or clamping is documented and consistent between UI, reports and alerts","","","",""
"","Test Case","Precision matches the UI and Reports convention","","","","Motadata\Settings","","Design","Regression; Edge"
"","","","1","Read the same kubernetes.container.memory.percent interval in Metric Explorer, a report and an alert","All three render the value","","","",""
"","","","2","Compare the decimal places","Identical precision in all three — the ticket requires the conversion precision to match existing UI/Reports behaviour","","","",""
"","Test Case","Historical data is not back-filled or corrupted","","","","Motadata\Settings","","Design","Regression; Lifecycle"
"","","","1","Note the stored history for the two source counters before enabling the KPI","Baseline captured","","","",""
"","","","2","Enable the KPI and re-inspect","Source history is untouched; the KPI has data only from the point it became available, with no fabricated retro values","","","",""
"","Test Case","KPI survives an upgrade of an install with existing Kubernetes monitors","","","","Motadata\Settings","","Design","Regression; Lifecycle"
"","","","1","Upgrade an install already monitoring Kubernetes containers","Upgrade completes","","","",""
"","","","2","Check kubernetes.container.memory.percent on a pre-existing container object","The KPI is present and collecting without re-onboarding the cluster","","","",""
"","Test Case","RBAC: KPI visibility follows existing counter permissions","","","","Motadata\Settings","","Design","Security"
"","","","1","Log in as a user whose role can view the container object, then as one who cannot","Both sessions established","","","",""
"","","","2","Attempt to read kubernetes.container.memory.percent","Visibility matches the existing per-object permission model — the new KPI introduces no privilege bypass","","","",""
"","Test Case","API exposes the KPI under its documented name","","","","Motadata\Settings","","Design","API; Functional"
"","","","1","Query the metric API for kubernetes.container.memory.percent on a container object","HTTP 200","","","",""
